id,alpha3,numeric,currency_sign,name_de,name_en
1,AED,784,د.إ,Vereinigte Arabische Emirate Dirham,United Arab Emirates Dirham
2,AFN,971,؋,Afghanischer Afghani,Afghan Afghani
3,ALL,8,L,Albanischer Lek,Albanian Lek
4,AMD,51,֏,Armenischer Dram,Armenian Dram
5,ANG,532,ƒ,Niederländische-Antillen-Gulden,Netherlands Antillean Guilder
6,AOA,976,Kz,Angolanischer Kwanza,Angolan Kwanza
7,ARS,36,$,Argentinischer Peso,Argentine Peso
8,AUD,36,$,Australischer Dollar,Australian Dollar
9,AWG,571,ƒ,Aruba-Florin,Aruban Florin
10,AZN,944,₼,Aserbaidschan-Manat,Azerbaijani Manat
11,BAM,977,KM,Bosnien und Herzegowina Konvertible Mark,Bosnia-Herzegovina Convertible Mark
12,BBD,52,$,Barbados-Dollar,Barbadian Dollar
13,BDT,50,৳,Bangladesch-Taka,Bangladeshi Taka
14,BGN,975,лв.,Bulgarischer Lew,Bulgarian Lev
15,BHD,48,.د.ب,Bahrain-Dinar,Bahraini Dinar
16,BIF,108,Fr,Burundi-Franc,Burundian Franc
17,BMD,60,$,Bermuda-Dollar,Bermudan Dollar
18,BND,96,$,Brunei-Dollar,Brunei Dollar
19,BOB,68,Bs.,Bolivianischer Boliviano,Bolivian Boliviano
20,BRL,986,R$,Brasilianischer Real,Brazilian Real
21,BSD,44,$,Bahamas-Dollar,Bahamian Dollar
22,BTN,64,NU.,Bhutanischer Ngultrum,Bhutanese Ngultrum
23,BWP,72,P,Botswanischer Pula,Botswanan Pula
24,BYN,933,Br,Weißrussischer Rubel,Belarusian Ruble
25,BZD,84,BZ$,Belize-Dollar,Belize Dollar
26,CAD,124,$,Kanadischer Dollar,Canadian Dollar
27,CDF,976,FC,Kongo-Franc,Congolese Franc
28,CHF,756,CHF,Schweizer Franken,Swiss Franc
29,CLP,152,$,Chilenischer Peso,Chilean Peso
30,CNY,156,¥,Chinesischer Yuan Renminbi,Chinese Yuan
31,COP,170,$,Kolumbianischer Peso,Colombian Peso
32,CRC,188,₡,Costa-Rica-Colón,Costa Rican Colón
33,CUC,931,$,Kubanischer Peso (konvertibel),Cuban Convertible Peso
34,CUP,192,$,Kubanischer Peso,Cuban Peso
35,CVE,132,$,Cabo-Verde-Escudo,Cape Verdean Escudo
36,CZK,203,Kč,Tschechische Krone,Czech Koruna
37,DJF,262,Fr,Dschibuti-Franc,Djiboutian Franc
38,DKK,208,kr,Dänische Krone,Danish Krone
39,DOP,214,$,Dominikanischer Peso,Dominican Peso
40,DZD,12,د.ج,Algerischer Dinar,Algerian Dinar
41,EGP,818,£,Ägyptisches Pfund,Egyptian Pound
42,ERN,15,Nfk,Eritreischer Nakfa,Eritrean Nakfa
43,ETB,230,Br,Äthiopischer Birr,Ethiopian Birr
44,EUR,978,€,Euro,Euro
45,FJD,242,$,Fidschi-Dollar,Fijian Dollar
46,GBP,826,£,Britisches Pfund,British Pound
47,GEL,981,ლ,Georgischer Lari,Georgian Lari
48,GHS,936,₵,Ghanaischer Cedi,Ghanaian Cedi
49,GIP,292,£,Gibraltar-Pfund,Gibraltar Pound
50,GMD,270,D,Gambia-Dalasi,Gambian Dalasi
51,GNF,324,Fr,Guinea-Franc,Guinean Franc
52,GTQ,320,Q,Guatemaltekischer Quetzal,Guatemalan Quetzal
53,GYD,328,$,Guyana-Dollar,Guyanese Dollar
54,HKD,344,$,Hongkong-Dollar,Hong Kong Dollar
55,HNL,340,L,Honduranischer Lempira,Honduran Lempira
56,HRK,191,kn,Kroatische Kuna,Croatian Kuna
57,HTG,332,G,Haitianische Gourde,Haitian Gourde
58,HUF,348,Ft,Ungarischer Forint,Hungarian Forint
59,IDR,360,Rp,Indonesische Rupiah,Indonesian Rupiah
60,ILS,376,₪,Israelischer Schekel,Israeli New Shekel
61,INR,356,₹,Indische Rupie,Indian Rupee
62,IQD,368,ع.د,Irakischer Dinar,Iraqi Dinar
63,IRR,364,﷼,Iranischer Rial,Iranian Rial
64,ISK,352,kr,Isländische Krone,Icelandic Króna
65,JMD,388,$,Jamaika-Dollar,Jamaican Dollar
66,JOD,400,د.ا,Jordanischer Dinar,Jordanian Dinar
67,JPY,392,¥,Japanischer Yen,Japanese Yen
68,KES,404,/,Kenia-Schilling,Kenyan Shilling
69,KGS,417,с,Kirgisischer Som,Kyrgystani Som
70,KHR,410,៛,Kambodschanischer Riel,Cambodian Riel
71,KMF,174,CF,Komoren-Franc,Comorian Franc
72,KPW,408,₩,Nordkoreanischer Won,North Korean Won
73,KRW,410,₩,Südkoreanischer Won,South Korean Won
74,KWD,414,د.ك,Kuwait-Dinar,Kuwaiti Dinar
75,KYD,136,$,Kaiman-Dollar,Cayman Islands Dollar
76,KZT,398,〒,Kasachischer Tenge,Kazakhstani Tenge
77,LAK,418,₭,Laotischer Kip,Laotian Kip
78,LBP,422,ل.ل.,Libanesisches Pfund,Lebanese Pound
79,LKR,144,₨,Sri-Lanka-Rupie,Sri Lankan Rupee
80,LRD,430,$,Liberianischer Dollar,Liberian Dollar
81,LSL,426,L,Lesothischer Loti,Lesotho Loti
82,LYD,434,ل.د,Libyscher Dinar,Libyan Dinar
83,MAD,504,د.م.,Marokkanischer Dirham,Moroccan Dirham
84,MDL,498,L,Moldauischer Leu,Moldovan Leu
85,MGA,969,Ar,Madagaskar-Ariary,Malagasy Ariary
86,MKD,807,ден,Mazedonischer Denar,Macedonian Denar
87,MMK,104,Ks,Myanmarischer Kyat,Myanma Kyat
